Name,Web Address,Sales Rep,Vertical,Billing City,Billing State/Province,Annual Revenue,NAICS
"Mid America Steel Services , LLC",http://midamsteel.com,"Dynek, Christopher",Manufacturing,Fargo,ND,$20M to $30M,332312 Fabricated Structural Metal Manufacturing
Mid Iowa Coop,http://www.midiowacoop.com,"Zapalac, Ross",Manufacturing,Beaman,IA,$20M to $30M,311119 Other Animal Food Manufacturing
Mid State Supply,http://www.midstate.com,"Dynek, Christopher","Apparel, Footwear & Accessories",Kansas City,MO,$30M to $50M,423990 Other Miscellaneous Durable Goods Merchant Wholesalers
Mid Valley Packaging & Supply Company,http://www.mvpsupply.com,"Uritis, Peter",Retail,Fowler,CA,$10M to $20M,424130 Industrial and Personal Service Paper Merchant Wholesalers
Midlands Packaging Corporation,http://www.midlandspkg.com,"Dynek, Christopher",Manufacturing,Lincoln,NE,$30M to $50M,322212 Folding Paperboard Box Manufacturing
"MIFAB, Inc.",http://www.mifab.com,"Dynek, Christopher",Manufacturing,Chicago,IL,$30M to $50M,423720 Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
Mike Hudson Distributing,http://www.mikehudsondist.com,"Traywick, Reginald",Retail,Petaluma,CA,$10M to $20M,424410 General Line Grocery Merchant Wholesalers
"Milani Plumbing, Heating, & Air Conditioning",http://milani.ca,"Zapalac, Ross",Retail,Burnaby,BC,$50M to $100M,423720 Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
Miles Resources,http://www.milesresources.com,"O'Neill, Brian",Manufacturing,Sumner,WA,$30M to $50M,324121 Asphalt Paving Mixture and Block Manufacturing
Millard Mfg. Corp.,http://www.millardmfg.com,"Dambrosio, Thomas",Manufacturing,Omaha,NE,$10M to $20M,333241 Food Product Machinery Manufacturing
"Millennia Stainless, Inc.",http://www.millenniastainless.com,"O'Neill, Brian",Manufacturing,SANTA FE SPRINGS,CA,$5M to $10M,423510 Metal Service Centers and Other Metal Merchant Wholesalers
Miller Paint,http://www.millerpaint.com,"Dynek, Christopher",Retail,Portland,OR,$400M to $500M,444120 Paint and Wallpaper Retailers
"Milton Industries, Inc.",http://www.miltonindustries.com,"Dynek, Christopher",Manufacturing,Chicago,IL,$20M to $30M,332911 Industrial Valve Manufacturing
Milton's Craft Bakers,https://eatmiltons.com/,"Corbett, Danielle",Food & Beverage,Carlsbad,CA,$5M to $10M,311821 Cookie and Cracker Manufacturing
Mineral Resources International,http://mineralresourcesint.com,"Corbett, Danielle",Manufacturing,Ogden,UT,$5M to $10M,325411 Medicinal and Botanical Manufacturing
Minn-Dak Farmers Cooperative,http://www.mdf.coop/,"Dynek, Christopher",General Business,Wahpeton,ND,$1M to $2M,926140 Regulation of Agricultural Marketing and Commodities
MiraDry,http://www.miradry.com,"Dambrosio, Thomas",Health & Beauty,Santa Clara,CA,$10M to $20M,334510 Electromedical and Electrotherapeutic Apparatus Manufacturing
Mirage Fine Foods,https://miragefoods.com/,"Dambrosio, Thomas",Food & Beverage,Torrance,CA,$5M to $10M,311811 Retail Bakeries
Miru Smart technologies,http://mirucorp.com,"Uritis, Peter",Manufacturing,Vancouver,BC,$10M to $20M,561499 All Other Business Support Services
Miss Elaine,http://www.misselaine.com,"Traywick, Reginald","Apparel, Footwear & Accessories",Saint Louis,MO,$5M to $10M,315250 Cut and Sew Apparel Manufacturing (except Contractors)
Mitchells,https://shop.mitchellstores.com/,"O'Neill, Brian","Apparel, Footwear & Accessories",Westport,CT,$50M to $100M,424350 Clothing and Clothing Accessories Merchant Wholesalers
Mitra Chem,http://www.mitrachem.com,"Zapalac, Ross",Manufacturing,Mountain View,CA,$50M to $100M,335912 Primary Battery Manufacturing
Mitsubishi Cement Corp.,http://www.mitsubishicement.com,"O'Neill, Brian",Manufacturing,Ontario,CA,$150M to $200M,327390 Other Concrete Product Manufacturing
Mixtec North America Inc.,http://www.mixtecna.com,"Dynek, Christopher",Manufacturing,Salt Lake City,UT,$20M to $30M,722513 Limited-Service Restaurants
MMA Design LLC,http://www.mmadesignllc.com,"O'Neill, Brian",Manufacturing,Louisville,CO,$5M to $10M,541490 Other Specialized Design Services
Mobile Mark Inc,http://www.mobilemark.com,"Corbett, Danielle",Services,Schiller Park,IL,$10M to $20M,334220 Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
Mobile Pixels,https://www.mobilepixels.us/,"O'Neill, Brian",Manufacturing,Irwindale,CA,$10M to $20M,334118 Computer Terminal and Other Computer Peripheral Equipment Manufacturing
Mobius Print & Signs,http://www.mobiusprint.com,"Traywick, Reginald",Manufacturing,Santa Ana,CA,$5M to $10M,323111 Commercial Printing (except Screen and Books)
MoFi Distribution,http://www.mofidistribution.com,"O'Neill, Brian",Manufacturing,Chicago,IL,$10M to $20M,541870 Advertising Material Distribution Services
Monarch Specialty Group,http://www.monarchsp.com,"Dambrosio, Thomas",Retail,Buffalo Grove,IL,$10M to $20M,424210 Drugs and Druggists' Sundries Merchant Wholesalers
Monarch Textiles,http://www.monarchtextiles.com,"Corbett, Danielle","Apparel, Footwear & Accessories",Placentia,CA,$5M to $10M,313230 Nonwoven Fabric Mills
"Montalvan's Sales, Inc.",http://www.montalvans.com,"Corbett, Danielle",Retail,Ontario,CA,$10M to $20M,424410 General Line Grocery Merchant Wholesalers
MONTEBELLO PLASTICS,http://www.montebelloplastics.com,"Traywick, Reginald",Manufacturing,MONTEBELLO,CA,$5M to $10M,326111 Plastics Bag and Pouch Manufacturing
More Than Vacuums,https://morethanvacuums.com/,"Corbett, Danielle",Retail,Denver,CO,$5M to $10M,449210 Electronics and Appliance Retailers
Morehouse Foods,http://www.morehousefoods.com,"Dambrosio, Thomas",Retail,Rowland Heights,CA,$5M to $10M,"311941 Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
Morgan Polymer Seals LLC,http://www.morganpolymerseals.com,"Corbett, Danielle",Manufacturing,San Diego,CA,$20M to $30M,"339991 Gasket, Packing, and Sealing Device Manufacturing"
Moss Greenhouses,http://www.mossgreenhouses.com,"Zapalac, Ross",Manufacturing,Jerome,ID,$30M to $50M,111422 Floriculture Production
Mother Science: Breakthrough Clinical Skincare,http://www.motherscience.com,"Zapalac, Ross",Health & Beauty,Santa Monica,CA,$10M to $20M,"456120 Cosmetics, Beauty Supplies, and Perfume Retailers"
Motherlove,http://www.motherlove.com,"Corbett, Danielle",Manufacturing,Fort Collins,CO,$10M to $20M,813211 Grantmaking Foundations
Mountain Life Ventures,https://amend2mags.com/,"Zapalac, Ross",Manufacturing,Idaho Falls,ID,$5M to $10M,339920 Sporting and Athletic Goods Manufacturing
Mountain View Equipment,http://www.mtvieweq.com,"Uritis, Peter",Manufacturing,Meridian,ID,$5M to $10M,423820 Farm and Garden Machinery and Equipment Merchant Wholesalers
Moveero,http://www.moveero.com,"Zapalac, Ross",Manufacturing,Armstrong,IA,$150M to $200M,561499 All Other Business Support Services
"MP Global Products, LLC",http://www.mpglobalproducts.com,"Zapalac, Ross",Manufacturing,Norfolk,NE,$30M to $50M,314110 Carpet and Rug Mills
MSE Supplies LLC,https://www.msesupplies.com,"O'Neill, Brian",Retail,Tucson,AZ,$50M to $100M,423490 Other Professional Equipment and Supplies Merchant Wholesalers
Mud Buddy,http://www.mudbuddy.com,"Corbett, Danielle",Manufacturing,West Jordan,UT,$10M to $20M,441222 Boat Dealers
"Mueller-Yurgae Associates, Inc.",http://www.mueller-yurgae.com,"Uritis, Peter",Retail,Grimes,IA,$5M to $10M,424410 General Line Grocery Merchant Wholesalers
Mugsy Jeans,http://mugsyjeans.com,"Zapalac, Ross","Apparel, Footwear & Accessories",Chicago,IL,$5M to $10M,458110 Clothing and Clothing Accessories Retailers
Multi Power Products Ltd.,http://www.multipowerproducts.com,"Corbett, Danielle",Manufacturing,Kelowna,BC,$5M to $10M,333131 Mining Machinery and Equipment Manufacturing
Munson Boats,http://www.munsonboats.com,"O'Neill, Brian",Retail,Burlington,WA,$5M to $10M,336612 Boat Building
Murphy Aircraft Manufacturing,http://www.murphyair.com,"Corbett, Danielle",Manufacturing,Chilliwack,BC,$1M to $2M,336411 Aircraft Manufacturing
"Murray Window & Door, LLC",http://www.murraywindow.com,"Traywick, Reginald",Manufacturing,Campbell,CA,$5M to $10M,321911 Wood Window and Door Manufacturing
Mutual Wheel Co,http://www.mutualwheel.com,"Traywick, Reginald",Retail,Dubuque,IA,$10M to $20M,423120 Motor Vehicle Supplies and New Parts Merchant Wholesalers
MW Polar,http://www.mwpolar.net,"Dambrosio, Thomas",Retail,Norwalk,CA,$5M to $10M,424410 General Line Grocery Merchant Wholesalers
MycoWorks,http://www.mycoworks.com,"Zapalac, Ross","Apparel, Footwear & Accessories",San FranciscoSan Jose,CA,$20M to $30M,325220 Artificial and Synthetic Fibers and Filaments Manufacturing
Mytrex INC,http://www.mytrexinc.com,"Traywick, Reginald",Health & Beauty,Riverton,UT,$5M to $10M,334290 Other Communications Equipment Manufacturing
Nadeau Corporation,http://furniturewithasoul.com/,"Traywick, Reginald",Retail,Santa Monica,CA,$10M to $20M,449110 Furniture Retailers
NAGASE Specialty Materials,http://nsm-na.com,"Dambrosio, Thomas",Manufacturing,Itasca,IL,$5M to $10M,424690 Other Chemical and Allied Products Merchant Wholesalers
Najarian Furniture Company,http://www.najarianfurniture.com,"O'Neill, Brian",Retail,City Of Industry,CA,$100M to $150M,449110 Furniture Retailers
Nakestores,https://nakestores.com/,"O'Neill, Brian",Manufacturing,Van Nuys,CA,$2M to $5M,561990 All Other Support Services
Nanoscience Instruments,http://www.nanoscience.com,"Dambrosio, Thomas",Manufacturing,Phoenix,AZ,$5M to $10M,334519 Other Measuring and Controlling Device Manufacturing
Naot,http://www.naot.com,"Corbett, Danielle","Apparel, Footwear & Accessories",Melville,NY,$5M to $10M,458210 Shoe Retailers
Narra,http://drinknarra.com,"O'Neill, Brian",Food & Beverage,,CA,$2M to $5M,561990 All Other Support Services
National Cement Company Inc.,http://www.nationalcement.com,"Dynek, Christopher",Manufacturing,Chicago,IL,$30M to $50M,238110 Poured Concrete Foundation and Structure Contractors
National Engravers,http://awardingyou.com,"Dambrosio, Thomas",Retail,Saint Charles,IL,$5M to $10M,459410 Office Supplies and Stationery Retailers
"National Metalwares, L.P.",http://www.nationalmetalwares.com,"Uritis, Peter",Manufacturing,Aurora,IL,$10M to $20M,331210 Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
NATIONAL PRODUCTS SALES INCORPORATED,http://npsstore.com,"Dynek, Christopher",Retail,Salt Lake City,UT,$30M to $50M,455219 All Other General Merchandise Retailers
National Signal Inc.,http://www.nationalsignalinc.net,"Dambrosio, Thomas",Manufacturing,Fullerton,CA,$5M to $10M,334290 Other Communications Equipment Manufacturing
Nationwide Medical,http://www.nationwidemedical.com,"Uritis, Peter",Health & Beauty,Agoura Hills,CA,$5M to $10M,456199 All Other Health and Personal Care Retailers
Nature Hills Nursery,http://www.naturehills.com,"Traywick, Reginald",Manufacturing,Omaha,NE,$5M to $10M,"444240 Nursery, Garden Center, and Farm Supply Retailers"
"Nature Hills Nursery : Nature Hills Nursery, Inc. | IP",,"Traywick, Reginald",,Omaha,NE,,
"Nature Hills Nursery : Nature Hills Nursery, Inc. | S2S",,"Traywick, Reginald",,Omaha,NE,,
Nature Hills Nursery : Single Sign On Configuration,,"Traywick, Reginald",,,,,
Naturwood Home Furnishings,http://www.naturwood.com,"Uritis, Peter",Retail,Rancho Cordova,CA,$10M to $20M,449110 Furniture Retailers
Natuzzi Editions,http://www.natuzzieditions.com,"O'Neill, Brian",Manufacturing,La Habra,CA,$30M to $50M,337121 Upholstered Household Furniture Manufacturing
NBC Packaging,http://www.nbcpackaging.com,"Corbett, Danielle",Food & Beverage,West Chicago,IL,$5M to $10M,311999 All Other Miscellaneous Food Manufacturing
NBP,https://nbpcorp.com/,"Dambrosio, Thomas",Manufacturing,Claremont,CA,$5M to $10M,335139 Electric Lamp Bulb and Other Lighting Equipment Manufacturing
Ne-Mo's Bakery,https://www.nemosbakery.com/,"O'Neill, Brian",Food & Beverage,San Francisco,CA,$30M to $50M,311811 Retail Bakeries
Nebraska Hoist and Crane,http://www.nebraskahoist.com,"Corbett, Danielle",Manufacturing,Omaha,NE,$5M to $10M,"333923 Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
Nelson Miller Group,http://www.nelsonmillergroup.com,"Zapalac, Ross",Manufacturing,,CA,$50M to $100M,424610 Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
"NEMO Arms, Inc.",http://www.nemoarms.com,"Zapalac, Ross",Manufacturing,Nampa,ID,$10M to $20M,"332994 Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
NessCampbell Crane + Rigging,http://www.nesscampbell.com,"Zapalac, Ross",Manufacturing,Portland,OR,$150M to $200M,"532412 Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
Network Auto Body,http://www.networkautobody.com,"Corbett, Danielle",Retail,Los Angeles,CA,$2M to $5M,"811121 Automotive Body, Paint, and Interior Repair and Maintenance"
Neupeak Robotics,http://www.neupeak.com,"Zapalac, Ross",Manufacturing,Vacouver,BC,$10M to $20M,111333 Strawberry Farming
Neuroptics Inc.,http://www.neuroptics.com,"Corbett, Danielle",Health & Beauty,Laguna Hills,CA,$5M to $10M,339112 Surgical and Medical Instrument Manufacturing
Neutron,https://www.neutronindustries.com/,"Zapalac, Ross",Manufacturing,Phoenix,AZ,$20M to $30M,325612 Polish and Other Sanitation Good Manufacturing
New Age Manufacturing,http://www.newagemfg-inc.com,"Dambrosio, Thomas",Manufacturing,Plattsmouth,NE,$5M to $10M,"333514 Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
New Century Auto Group,http://www.bmwcard.com.au,"Traywick, Reginald",Retail,Temecula,CA,$10M to $20M,441110 New Car Dealers
New Classic Furniture,http://www.newclassicfurniture.com,"Traywick, Reginald",Manufacturing,Fontana,CA,$30M to $50M,442110 Furniture Stores
"New Hong Kong Noodle Co., Inc.",http://www.nhknoodle.com,"O'Neill, Brian",Retail,South San Francisco,CA,$5M to $10M,"311824 Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
"Newlight Technologies, Inc.",http://newlight.com,"Dynek, Christopher",Manufacturing,Irvine,CA,$50M to $100M,541714 Research and Development in Biotechnology (except Nanobiotechnology)
Next Adventure Inc,http://www.nextadventure.net,"Traywick, Reginald",Retail,Portland,OR,$10M to $20M,459110 Sporting Goods Retailers
Next Door & Window,http://www.nextdoorandwindow.com,"O'Neill, Brian",Retail,Naperville,IL,$10M to $20M,444110 Home Centers
Nhance Wood Refinishing - Cali,http://www.nhance.com,"Corbett, Danielle",Manufacturing,Lake Forest,CA,$5M to $10M,238330 Flooring Contractors
NHS Fun Factory,http://www.nhs-inc.com,"Dynek, Christopher",Retail,Santa Cruz,CA,$100M to $150M,423910 Sporting and Recreational Goods and Supplies Merchant Wholesalers
Nic Nac Naturals,http://nicnac.com,"Dambrosio, Thomas",Health & Beauty,Spokane,WA,$5M to $10M,
Nichibei Global LLC dba Nakamoto Forestry North America,http://www.nakamotoforestry.com,"Corbett, Danielle",Manufacturing,Portland,OR,$5M to $10M,115310 Support Activities for Forestry
Nidec Machine Tool America,https://www.nidec-machinetoolamerica.com/,"Dynek, Christopher",Health & Beauty,St Charles,IL,$30M to $50M,456199 All Other Health and Personal Care Retailers
"Nihon Kohden Orangemed, Inc.",http://www.orange-med.com,"O'Neill, Brian",Manufacturing,Irvine,CA,$30M to $50M,339112 Surgical and Medical Instrument Manufacturing
Nina's Flowers & Gifts,https://www.ninasflowersandgifts.com/,"Dynek, Christopher",Retail,Elk Grove,CA,$20M to $30M,"459420 Gift, Novelty, and Souvenir Retailers"
Nitto Avecia,http://www.avecia.com,"Dynek, Christopher",Manufacturing,Irvine,CA,$30M to $50M,339112 Surgical and Medical Instrument Manufacturing
NK Technologies,http://www.nktechnologies.com,"Dynek, Christopher",Manufacturing,San Jose,CA,$30M to $50M,335999 All Other Miscellaneous Electrical Equipment and Component Manufacturing
"Noffsinger Manufacturing, Inc.",http://www.noffsingermfg.com,"Dynek, Christopher",Manufacturing,Greeley,CO,$10M to $20M,333111 Farm Machinery and Equipment Manufacturing
Norfield LLC,http://www.norfield.com,"Uritis, Peter",Manufacturing,Chico,CA,$10M to $20M,523940 Portfolio Management and Investment Advice
"Norland International, Inc.",http://www.norlandintl.com,"Zapalac, Ross",Retail,Lincoln,NE,$20M to $30M,333993 Packaging Machinery Manufacturing
"NOROTOS, INC.",http://www.norotos.com,"O'Neill, Brian",Manufacturing,Santa Ana,CA,$20M to $30M,333314 Optical Instrument and Lens Manufacturing
North American Fire Hose Corporation,http://www.nafhc.com,"Dynek, Christopher",Manufacturing,Santa Maria,CA,$20M to $30M,326220 Rubber and Plastics Hoses and Belting Manufacturing
North American Lubricants,http://www.nalube.com,"Corbett, Danielle",Manufacturing,Scottsdale,AZ,$10M to $20M,424720 Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
NORTH AMERICAN TRADING,http://www.nafdc.com,"Traywick, Reginald",Retail,Southport,CA,$10M to $20M,"453220 Gift, Novelty, and Souvenir Stores"
North Dakota Mill,https://www.ndmill.com/,"Zapalac, Ross",Retail,Grand Forks,ND,$50M to $100M,311211 Flour Milling
North Star Equipment Services,http://www.northstarak.com,"O'Neill, Brian",Retail,Anchorage,AK,$10M to $20M,488320 Marine Cargo Handling
North Star Ice Equipment,http://www.northstarice.com,"O'Neill, Brian",Manufacturing,Seattle,WA,$5M to $10M,333415 Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
North West Rubber,http://www.northwestrubber.com,"Dynek, Christopher",Manufacturing,Abbotsford,BC,$30M to $50M,326299 All Other Rubber Product Manufacturing
"Northern Pipe Products, Inc.",http://www.northernpipe.com,"Dynek, Christopher",Manufacturing,Fargo,ND,$1B to $2B,326122 Plastics Pipe and Pipe Fitting Manufacturing
Northside Industries Inc.,http://www.northsideind.ca,"Dambrosio, Thomas",Manufacturing,Kelowna,BC,$5M to $10M,332420 Metal Tank (Heavy Gauge) Manufacturing
Northwest Grain Growers Inc,http://www.nwgrgr.com,"Uritis, Peter",Manufacturing,Walla Walla,WA,$5M to $10M,424510 Grain and Field Bean Merchant Wholesalers
Nosler Inc,http://www.nosler.com,"Dynek, Christopher",Manufacturing,Bend,OR,$30M to $50M,459110 Sporting Goods Retailers
Novica.com,http://www.novica.com,"Traywick, Reginald",Retail,Santa Monica,CA,$10M to $20M,"459420 Gift, Novelty, and Souvenir Retailers"
Nowadays,http://www.trynowadays.com/,"Corbett, Danielle",Services,Irvine,CA,$1M to $2M,"541921 Photography Studios, Portrait"
Nu Cara Pharmacy,http://www.nucara.com,"Zapalac, Ross",Retail,Waterloo,IA,$50M to $100M,456110 Pharmacies and Drug Retailers
Nu-Calgon Inc.,http://www.nucalgon.com,"Traywick, Reginald",Manufacturing,St Louis,MO,$20M to $30M,423730 Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
NuCurrent,http://www.nucurrent.com,"Dambrosio, Thomas",Services,Chicago,IL,$5M to $10M,541690 Other Scientific and Technical Consulting Services
Nupqu,https://nupqu.com/,"Corbett, Danielle",Manufacturing,Fernie,BC,$5M to $10M,115310 Support Activities for Forestry
Nurnberg Scientific,http://www.nurnberg.com,"Dambrosio, Thomas",Retail,Tualatin,OR,$5M to $10M,423490 Other Professional Equipment and Supplies Merchant Wholesalers
NuSport,http://www.nusport.com/,"Dynek, Christopher","Apparel, Footwear & Accessories",Palm Desert,CA,$20M to $30M,424350 Clothing and Clothing Accessories Merchant Wholesalers
Nutraways Enterprises LTD,https://vitasave.ca/,"O'Neill, Brian",Health & Beauty,North Vancouver,BC,$2M to $5M,446191 Food (Health) Supplement Stores
Nutraways Enterprises LTD : Essentials - Adam Assadkhan - October 2015  Self study,,"O'Neill, Brian",,,,,
Nutraways Enterprises LTD : Nutraways Enterprises LTD | Accelerated Implementation,,"O'Neill, Brian",,,,,
Nutraways Enterprises LTD : Nutraways | Accelerated | Online EUT | ERP CRM | BC,,"O'Neill, Brian",,,,,
NuWay - K&H Cooperative,http://www.nuway-kandh.com,"O'Neill, Brian",Manufacturing,Clear Lake,IA,$20M to $30M,115116 Farm Management Services
NVB Equipment,http://www.nvbequipment.com,"Uritis, Peter",Manufacturing,Fresno,CA,$10M to $20M,423440 Other Commercial Equipment Merchant Wholesalers
O C Keckley Company Inc,http://www.keckley.com,"O'Neill, Brian",Manufacturing,Skokie,IL,$5M to $10M,332919 Other Metal Valve and Pipe Fitting Manufacturing
"O'Rourke Bros., Inc.",http://www.orourkesales.com,"Dynek, Christopher",Retail,Davenport,IA,$10M to $20M,423990 Other Miscellaneous Durable Goods Merchant Wholesalers
OAI,http://www.oainet.com,"Dambrosio, Thomas",Manufacturing,Milpitas,CA,$10M to $20M,334413 Semiconductor and Related Device Manufacturing
Obermeyer Hydro Inc / OneFLOW LLC,http://www.obermeyerhydro.com,"Corbett, Danielle",Manufacturing,Fort Collins,CO,$10M to $20M,541330 Engineering Services
Obi Pharma Usa Inc,http://www.obipharma.com,"Corbett, Danielle",Manufacturing,San Diego,CA,$5M to $10M,325412 Pharmaceutical Preparation Manufacturing
Ocean Mist Farms,http://www.oceanmist.com,"Zapalac, Ross",Manufacturing,Castroville,CA,$100M to $150M,111219 Other Vegetable (except Potato) and Melon Farming
Octane AVL Limited,http://octaneavl.com,"Corbett, Danielle",Retail,Fort Collins,CO,$5M to $10M,449210 Electronics and Appliance Retailers
Odacité Skincare,https://odacite.com,"Dambrosio, Thomas",Health & Beauty,Van Nuys,CA,$5M to $10M,"456120 Cosmetics, Beauty Supplies, and Perfume Retailers"
OEL WorldWide Industries,http://oelsales.com,"Uritis, Peter","Apparel, Footwear & Accessories",Palmer Lake,CO,$10M to $20M,541490 Other Specialized Design Services
Oewaves,http://www.oewaves.com,"O'Neill, Brian",Manufacturing,Pasadena,CA,$10M to $20M,334515 Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
Ohana Beverage,http://www.ohanabevco.com,"Zapalac, Ross",Retail,Honolulu,HI,$20M to $30M,424820 Wine and Distilled Alcoholic Beverage Merchant Wholesalers
"Oiselle Running, Inc.",http://www.oiselle.com/,"O'Neill, Brian","Apparel, Footwear & Accessories",Seattle,WA,$5M to $10M,315990 Apparel Accessories and Other Apparel Manufacturing
"Old World Christmas, Inc.",http://www.oldworldchristmas.com,"Traywick, Reginald",Retail,Spokane,WA,$10M to $20M,423920 Toy and Hobby Goods and Supplies Merchant Wholesalers
Ollin,https://ollin.co/,"O'Neill, Brian","Apparel, Footwear & Accessories",Shelley,ID,$2M to $5M,561990 All Other Support Services
"Olympia International, Inc.   Print",https://www.olympiausa.com/,"Dambrosio, Thomas",Manufacturing,Carson,CA,$5M to $10M,423990 Other Miscellaneous Durable Goods Merchant Wholesalers
Olympian Motors,http://www.olympianmotors.com,"O'Neill, Brian",Retail,Beverly Hills,CA,$5M to $10M,"441228 Motorcycle, Atv, and All other Motor Vehicle Dealers"
OMW Corp,http://www.omwcorp.com,"Traywick, Reginald",Manufacturing,Novato,CA,$5M to $10M,332710 Machine Shops
OnFulfillment,http://www.onfulfillment.com,"Dambrosio, Thomas",Manufacturing,Newark,CA,$5M to $10M,323111 Commercial Printing (except Screen and Books)
Onyx countertops ltd,https://onyxstones.ca,"Corbett, Danielle",Manufacturing,Kamloops,BC,$5M to $10M,
"Optiforms, Inc.",http://www.optiforms.com,"Corbett, Danielle",Manufacturing,Temecula,CA,$10M to $20M,333314 Optical Instrument and Lens Manufacturing
Orbit Industries Inc.,http://www.orbitelectric.com,"Dynek, Christopher",Retail,Los Angeles,CA,$2B to $4B,"423610 Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
Orbit Medical,http://www.orbitmedical.com,"Dynek, Christopher",Health & Beauty,Aurora,IL,$20M to $30M,456199 All Other Health and Personal Care Retailers
Ore Diamonds,https://orediamonds.com/,"Traywick, Reginald","Apparel, Footwear & Accessories",Los Angeles,CA,$5M to $10M,339910 Jewelry and Silverware Manufacturing
ORE Diamonds Mfg LP,http://orediamonds.com,"Traywick, Reginald","Apparel, Footwear & Accessories",Los Angeles,CA,$5M to $10M,339910 Jewelry and Silverware Manufacturing
Oregon Canadian Forest Products,http://www.ocfp.com,"Dambrosio, Thomas",Manufacturing,North Plains,OR,$10M to $20M,"423310 Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
Oregon Potato Company,http://www.oregonpotato.com,"Zapalac, Ross",Food & Beverage,Boardman,OR,$50M to $100M,311423 Dried and Dehydrated Food Manufacturing
Oregon Potato Company : Dickinson Frozen Foods,http://www.df-foods.com,"Zapalac, Ross",Food & Beverage,Pasco,WA,$50M to $100M,311412 Frozen Specialty Food Manufacturing
Oregon Roses Inc.,http://www.oregonroses.com,"Dynek, Christopher",Retail,Forest Grove,OR,$20M to $30M,"424930 Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
Oregon Truss,http://www.oregontruss.com,"Corbett, Danielle",Manufacturing,Dayton,OR,$10M to $20M,321215 Engineered Wood Member Manufacturing
"Organic By Nature, Inc.",http://www.organicbynatureinc.com,"Zapalac, Ross",Retail,Compton,CA,$30M to $50M,445299 All Other Specialty Food Stores
Organika Health Products,http://www.organika.com,"Traywick, Reginald",Health & Beauty,Richmond,BC,$20M to $30M,456191 Food (Health) Supplement Retailers
Origin Organic Farms,http://www.origino.ca/,"Traywick, Reginald",Manufacturing,Delta,BC,$5M to $10M,111419 Other Food Crops Grown Under Cover
Orsted Aluminum,,"Traywick, Reginald",Manufacturing,,,$5M to $10M,
Ortery Technologies,http://www.ortery.com,"Corbett, Danielle",Manufacturing,Irvine,CA,$10M to $20M,423410 Photographic Equipment and Supplies Merchant Wholesalers
"ORTHOSELECT, LLC",http://www.myorthoselect.com,"O'Neill, Brian",Health & Beauty,American Fork,UT,$5M to $10M,339116 Dental Laboratories
Otto Engineering,http://ottoexcellence.com,"Zapalac, Ross",Manufacturing,Carpentersville,IL,$100M to $150M,335999 All Other Miscellaneous Electrical Equipment and Component Manufacturing
Outdoor Kitchen,http://www.outdoorkitchen.com,"Dambrosio, Thomas",Retail,Omaha,NE,$5M to $10M,449110 Furniture Retailers
"Outer, Inc.",http://www.liveouter.com,"Traywick, Reginald",Retail,Santa Monica CA,CA,$10M to $20M,449129 All Other Home Furnishings Retailers
"Overhill Farms, Inc.",http://www.overhillfarms.com,"Dynek, Christopher",Food & Beverage,Vernon,CA,$150M to $200M,311412 Frozen Specialty Food Manufacturing
Owen Lumber Company,http://www.owenlumber.com,"Uritis, Peter",Manufacturing,Belton,MO,$5M to $10M,444110 Home Centers
Oxerra,http://www.cathayindusa.com/index.html,"Dambrosio, Thomas",Manufacturing,Bartlett,IL,$10M to $20M,325130 Synthetic Dye and Pigment Manufacturing
Oxy Health Corp,http://www.oxyhealth.com,"Uritis, Peter",Health & Beauty,Santa Fe Springs,CA,$5M to $10M,339112 Surgical and Medical Instrument Manufacturing
Ozark Die Casting,http://ozarkdie.com/,"O'Neill, Brian",Manufacturing,St.Clair,MO,$5M to $10M,331523 Nonferrous Metal Die-Casting Foundries
Ozark Fiber,http://www.ozarkfiber.com,"Corbett, Danielle","Apparel, Footwear & Accessories",St. Louis,MO,$5M to $10M,"451130 Sewing, Needlework, and Piece Goods Stores"
P&P Imports LLC,http://www.pandpimports.com,"Dynek, Christopher",Manufacturing,Irvine,CA,$20M to $30M,424990 Other Miscellaneous Nondurable Goods Merchant Wholesalers
"P&P Industries, Inc.",http://www.ppind.com,"Corbett, Danielle",Manufacturing,Sterling,IL,$10M to $20M,326199 All Other Plastics Product Manufacturing
